x,y,class
2.6717190853939656,1.1413354074940991,1.0
1.8171348396117726,3.237529272378663,1.0
1.8905497237839812,2.6461343682671616,1.0
1.7032241432675752,1.5601925435568067,1.0
2.7551110029307377,2.1128694114967255,1.0
1.8024853281068665,-0.329514142813796,1.0
2.6936520250033897,2.4096541670418627,1.0
-0.0403725452406305,1.7163938229951854,1.0
2.0497511392251466,1.9168920274184076,1.0
2.5701647089898687,2.577660139967347,1.0
-0.07531895116895715,2.429666189072815,1.0
1.4414742395817068,2.064179691004467,1.0
1.8040845600998732,2.1686917324569093,1.0
2.2908588184495735,2.646714486662945,1.0
1.998842252918609,2.3529645474416503,1.0
2.507474736401356,0.8920329077255698,1.0
1.9561335149805792,2.5251839622401855,1.0
2.7798108138630915,3.323328363764485,1.0
2.852976398658536,1.9681667961464584,1.0
2.4901610834074317,2.3844983095493446,1.0
1.84429146123492,2.676851359480498,1.0
1.6631305998839865,1.715248772736902,1.0
2.2754623876780773,1.7941277394483133,1.0
2.16193159952203,2.065255783438377,1.0
4.315656348617542,0.6745505337609885,1.0
3.3547072983662716,2.754124917194617,1.0
1.8412458884829201,1.284591489877032,1.0
1.8205403066428667,2.5271372988508842,1.0
2.2167415303200233,1.710686113171339,1.0
0.6480128178778966,4.06724703031855,1.0
1.8904896622410776,3.3267238979729177,1.0
0.8879437222666433,1.4830693611468186,1.0
1.8358447845708208,0.8786347895384301,1.0
1.8047684614728132,2.779317127101978,1.0
1.518612908566717,3.3495349947024535,1.0
4.390331551339443,3.5708295257798985,1.0
2.2406041504374414,2.3678031592817597,1.0
3.172279771045247,1.723179284942086,1.0
1.0808892708183033,2.330484334065536,1.0
1.6988716733943363,1.6729152706036492,1.0
1.360967633216823,1.4416931287901118,1.0
1.912834767632615,2.491817961178372,1.0
-0.035063637732428266,0.6071251846748327,1.0
2.6259733780076937,1.3716656901198112,1.0
4.602741249238402,1.8920539067013886,1.0
1.3708830122140419,1.2809646499569582,1.0
1.8530934716208756,2.421689982648246,1.0
2.297201650382176,2.600855619339288,1.0
1.2027665912787633,2.4074327829978333,1.0
1.6616953924357922,4.044180001720449,1.0
1.2262742377935316,1.8848702287492904,1.0
2.532406099478597,1.9009300383668999,1.0
1.8540839361054615,3.224067427127386,1.0
1.3845259523107447,2.2336805067605305,1.0
1.577435455188746,0.900406902731981,1.0
3.008692908615665,1.120288769939064,1.0
2.6120793519074224,2.495928111764891,1.0
1.5150895465449064,3.131594582577641,1.0
1.9343334752950372,2.9358405618041106,1.0
2.043760703416719,1.9408714599882235,1.0
2.872227502382766,2.2056657073242296,1.0
1.476200597377642,2.096686380464515,1.0
1.4804185868873998,1.8245941887077126,1.0
4.177102952294243,2.868349708792574,1.0
2.5275467041620305,0.3731417903571981,1.0
1.2617407404728702,1.860181914354559,1.0
1.9265778702242649,1.4541832960432148,1.0
2.630203735478273,3.152065491542067,1.0
1.3475490916752455,1.381926501215602,1.0
0.7915615490710517,1.7615115448191694,1.0
0.8350970228947201,2.420376104526349,1.0
0.8239751857884414,0.06511836054794506,1.0
3.18134832496603,2.4451745815939936,1.0
1.4220034302032794,2.3872530328683794,1.0
3.3387155825387493,1.6039605279668514,1.0
1.9229433357717036,1.7072952677578779,1.0
2.07331335797042,2.436458225952147,1.0
1.9126984356877461,0.7191059623111011,1.0
0.15282259742094184,3.4623721009052453,1.0
2.3298752426393214,2.726933903301024,1.0
1.1525401575701841,1.3240497230081745,1.0
1.6818793346512093,2.363491621527614,1.0
1.2648450350723133,2.692897867082834,1.0
1.9111689261928055,4.142824465003422,1.0
1.8807164309311404,3.3964075161509735,1.0
2.9700680079608945,2.2418736492031366,1.0
2.3141930684631045,0.6307258019418385,1.0
2.169807851874501,1.7444430836358364,1.0
2.1802817288539043,0.838037420358152,1.0
1.250285817112379,1.4316192044518314,1.0
1.9024767209911615,2.77827185174701,1.0
2.8340466073996335,0.6899074684044653,1.0
3.0619051492785276,1.86726175642702,1.0
2.5821663857859316,2.1906688193073998,1.0
2.7497902059457915,2.1969049628987074,1.0
1.5979444730717938,0.7334256035826077,1.0
2.6814956340852385,3.5138047421557994,1.0
1.44541912514519,0.6525730068500519,1.0
1.280107922937646,2.604265348819476,1.0
4.263973332945579,2.86577002285924,1.0
2.0347453086118614,3.1626169983058063,1.0
1.51353552530878,0.8377825457828105,1.0
1.3302152208613212,0.7438480556324731,1.0
1.695838487775503,0.9003070525896522,1.0
0.3787855092362462,0.7589484383007432,1.0
2.0762768302920898,1.38899051971165,1.0
2.1134854155179865,1.0010373939456367,1.0
2.803171170695906,2.672887079668873,1.0
-0.21439605697378283,3.1634024838721775,1.0
3.126740082448113,1.2987704212261422,1.0
1.4017429438099198,2.3136368917571355,1.0
